sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
mean_streak_len,7.5,0.95,1000.0,0.5,0.1,0.05,markov,0.5,7.5,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12490371445177029,0.6232355554394532,-1.491694064393596,0.7431972789115646,0.9387755102040817,0.07622176870748298,0.4779007561504841,0.75,24.866666666666667,0.0,20.0
mean_streak_len,9.75,0.95,1000.0,0.5,0.1,0.05,markov,0.5,9.75,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12359591738832583,0.7112578673594432,-0.1350980245650572,0.6178509532062392,0.8847487001733102,0.13460034662045062,0.4162486769258976,0.85,25.88235294117647,0.0,20.0
mean_streak_len,12.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,12.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12290489278559717,0.7515521752319334,0.5190964617696521,0.7261904761904762,0.9013605442176871,0.09662993197278913,0.5514835119247437,0.75,24.866666666666667,0.0,20.0
bearing0_deg,30.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,30.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12458213004879548,0.7866694377881475,-1.8075093763088912,0.6125429553264605,0.8805841924398625,0.14407285223367694,0.41530079757794736,0.8,25.375,0.0,20.0
bearing0_deg,45.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,45.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12458212782121451,0.7859168382373075,-1.8067168166118648,0.6123499142367067,0.8807890222984562,0.14406106346483705,0.43142436277121304,0.8,25.4375,0.0,20.0
bearing0_deg,60.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
bearing0_deg,75.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,75.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12448462510791947,0.7690665221946947,-2.1762520358576203,0.7533222591362126,0.9534883720930233,0.0716338870431894,0.48537938930094243,0.7,24.857142857142858,0.0,20.0
bearing0_deg,90.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,90.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12430834066827492,0.7646994308656212,-2.175497125401039,0.7520593080724877,0.9530477759472817,0.07081153212520597,0.4824940863996744,0.7,25.214285714285715,0.0,20.0
range0,4.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,4.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12307193930848088,0.738244695980065,-2.1088516123654637,0.6746575342465754,0.9263698630136986,0.036172602739726,0.38984016627073287,1.0,13.6,0.0,20.0
range0,8.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,8.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12444476723648736,0.7725902844424115,-2.076353527195678,0.6542338709677419,0.9042338709677419,0.07873225806451623,0.3497172111645341,1.0,23.8,0.0,20.0
range0,12.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,12.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
range0,16.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,16.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
range0,20.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,20.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dt,0.2,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.2,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dt,0.4,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.4,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dt,0.6000000000000001,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.6000000000000001,0.010414058246057912,0.00010000000000000009,True,0.12458676666798052,0.8721830501116351,-1.8002464783074505,0.639763779527559,0.8946850393700787,0.10275118110236225,0.3097020694054663,1.0,24.4,0.0,20.0
dt,0.8,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.8,0.010414058246057912,0.00010000000000000009,True,0.12517031912232954,1.117104503992406,-1.6216513727156736,0.6339285714285714,0.8864795918367347,0.11679183673469384,0.34270917661488054,1.0,18.6,0.0,20.0
dt,1.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,1.0,0.010414058246057912,0.00010000000000000009,True,0.1263809192189325,1.2899707942307734,-1.4717943568491345,0.6295731707317073,0.8917682926829268,0.11585853658536593,0.2922427042387426,1.0,15.4,0.0,20.0
